Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST1168,375,2,497.59999999999997,3,1,1,311,5,At Risk
CUST1169,361,3,3214.81,3,2,2,322,7,Potential
CUST1171,45,4,4805.22,5,2,3,523,10,Loyal
CUST1172,227,1,104.11,4,1,1,411,6,At Risk
CUST1173,60,5,3515.35,5,3,2,532,10,Loyal
CUST1174,366,1,55.02,3,1,1,311,5,At Risk
CUST1175,87,1,97.7,5,1,1,511,7,Potential
CUST1176,562,2,795.25,2,1,1,211,4,At Risk
CUST1178,91,5,3947.62,5,3,2,532,10,Loyal
CUST1179,226,1,128.91,4,1,1,411,6,At Risk
CUST1180,211,3,598.03,4,2,1,421,7,Potential
CUST1181,410,1,472.02000000000004,3,1,1,311,5,At Risk
CUST1182,447,4,655.41,2,2,1,221,5,At Risk
CUST1183,321,4,1737.8799999999999,3,2,1,321,6,At Risk
CUST1184,329,1,50.36,3,1,1,311,5,At Risk
CUST1185,39,3,3881.12,5,2,2,522,9,Potential
CUST1186,3,2,2574.52,5,1,2,512,8,Potential
CUST1187,323,1,1124.7600000000002,3,1,1,311,5,At Risk
CUST1188,406,1,28.63,3,1,1,311,5,At Risk
CUST1189,303,3,167.59,3,2,1,321,6,At Risk
CUST1190,392,1,682.97,3,1,1,311,5,At Risk
CUST1192,408,1,7.52,3,1,1,311,5,At Risk
CUST1193,384,1,1281.71,3,1,1,311,5,At Risk
CUST1194,241,4,794.86,4,2,1,421,7,Potential
CUST1195,107,1,102.04,5,1,1,511,7,Potential
CUST1197,28,4,1398.68,5,2,1,521,8,Potential
CUST1198,409,1,577.42,3,1,1,311,5,At Risk
CUST1199,324,2,1530.13,3,1,1,311,5,At Risk
CUST1200,394,2,1043.22,3,1,1,311,5,At Risk
CUST1201,655,1,1640.71,1,1,1,111,3,At Risk
CUST1202,33,4,864.7499999999999,5,2,1,521,8,Potential
CUST1205,53,2,445.64000000000004,5,1,1,511,7,Potential
CUST1206,81,4,3125.71,5,2,2,522,9,Potential
CUST1208,687,1,12.42,1,1,1,111,3,At Risk
CUST1210,390,1,333.31,3,1,1,311,5,At Risk
CUST1211,235,5,1743.95,4,3,1,431,8,Potential
CUST1213,584,1,20.5,2,1,1,211,4,At Risk
CUST1214,230,4,1034.6,4,2,1,421,7,Potential
CUST1216,196,3,3825.44,4,2,2,422,8,Potential
CUST1217,8,4,830.53,5,2,1,521,8,Potential
CUST1218,357,1,248.3,3,1,1,311,5,At Risk
CUST1219,416,1,3412.21,3,1,2,312,6,At Risk
CUST1220,204,3,1150.25,4,2,1,421,7,Potential
CUST1222,17,3,1179.3799999999999,5,2,1,521,8,Potential
CUST1223,419,3,755.99,3,2,1,321,6,At Risk
CUST1224,441,1,336.42,2,1,1,211,4,At Risk
CUST1225,719,1,105.61,1,1,1,111,3,At Risk
CUST1226,295,2,1782.6,3,1,1,311,5,At Risk
CUST1227,67,3,475.16,5,2,1,521,8,Potential
CUST1228,13,2,324.65,5,1,1,511,7,Potential
CUST1229,385,1,260.73,3,1,1,311,5,At Risk
CUST1230,50,4,711.79,5,2,1,521,8,Potential
CUST1231,2,2,338.66999999999996,5,1,1,511,7,Potential
CUST1232,33,5,2550.86,5,3,2,532,10,Loyal
CUST1233,98,3,211.04999999999998,5,2,1,521,8,Potential
CUST1234,6,2,95.75,5,1,1,511,7,Potential
CUST1235,144,4,3056.1499999999996,5,2,2,522,9,Potential
CUST1236,404,2,385.49,3,1,1,311,5,At Risk
CUST1237,309,2,3164.47,3,1,2,312,6,At Risk
CUST1238,71,1,41.37,5,1,1,511,7,Potential
CUST1241,577,2,591.31,2,1,1,211,4,At Risk
CUST1242,125,2,189.07,5,1,1,511,7,Potential
CUST1243,52,3,637.33,5,2,1,521,8,Potential
CUST1244,477,2,1614.3500000000001,2,1,1,211,4,At Risk
CUST1245,207,3,1120.56,4,2,1,421,7,Potential
CUST1247,382,1,1527.89,3,1,1,311,5,At Risk
CUST1248,275,3,3237.92,4,2,2,422,8,Potential
CUST1249,50,1,1241.32,5,1,1,511,7,Potential
CUST1250,184,2,280.12,4,1,1,411,6,At Risk
CUST1251,247,2,265.53,4,1,1,411,6,At Risk
CUST1252,96,4,2981.07,5,2,2,522,9,Potential
CUST1253,151,1,64.98,4,1,1,411,6,At Risk
CUST1254,710,1,968.37,1,1,1,111,3,At Risk
CUST1255,252,1,191.6,4,1,1,411,6,At Risk
CUST1256,41,5,1194.52,5,3,1,531,9,Potential
CUST1257,278,2,228.69,4,1,1,411,6,At Risk
CUST1258,563,1,174.91,2,1,1,211,4,At Risk
CUST1260,243,4,1265.1599999999999,4,2,1,421,7,Potential
CUST1261,55,5,8553.710000000001,5,3,4,534,12,Loyal
CUST1262,105,1,265.14,5,1,1,511,7,Potential
CUST1263,183,5,5154.62,4,3,3,433,10,Loyal
CUST1264,14,3,148.82,5,2,1,521,8,Potential
CUST1266,493,1,29.47,2,1,1,211,4,At Risk
CUST1269,393,1,566.25,3,1,1,311,5,At Risk
CUST1270,17,2,2648.5099999999998,5,1,2,512,8,Potential
CUST1272,633,1,30.41,1,1,1,111,3,At Risk
CUST1274,171,3,3532.7,4,2,2,422,8,Potential
CUST1275,81,3,1426.57,5,2,1,521,8,Potential
CUST1276,207,1,326.41,4,1,1,411,6,At Risk
CUST1277,9,2,901.0799999999999,5,1,1,511,7,Potential
CUST1278,548,1,690.11,2,1,1,211,4,At Risk
CUST1280,130,1,45.76,5,1,1,511,7,Potential
CUST1281,439,2,1929.12,3,1,1,311,5,At Risk
CUST1282,409,2,220.08,3,1,1,311,5,At Risk
CUST1283,331,1,30.729999999999997,3,1,1,311,5,At Risk
CUST1284,240,1,630.2,4,1,1,411,6,At Risk
CUST1285,514,1,1048.4599999999998,2,1,1,211,4,At Risk
CUST1286,255,1,887.13,4,1,1,411,6,At Risk
CUST1287,7,1,14.74,5,1,1,511,7,Potential
CUST1288,200,1,34.95,4,1,1,411,6,At Risk
CUST1289,609,1,151.31,1,1,1,111,3,At Risk
CUST1290,44,3,2346.81,5,2,2,522,9,Potential
CUST1291,463,2,1421.54,2,1,1,211,4,At Risk
CUST1292,95,3,1458.9,5,2,1,521,8,Potential
CUST1293,53,3,753.8599999999999,5,2,1,521,8,Potential
CUST1294,706,2,72.72,1,1,1,111,3,At Risk
CUST1295,128,1,367.42,5,1,1,511,7,Potential
CUST1297,476,1,58.7,2,1,1,211,4,At Risk
CUST1298,585,1,2521.91,2,1,2,212,5,At Risk
CUST1300,450,1,27.71,2,1,1,211,4,At Risk
CUST1301,22,4,2025.87,5,2,1,521,8,Potential
CUST1302,370,1,556.4,3,1,1,311,5,At Risk
CUST1303,122,4,288.69,5,2,1,521,8,Potential
CUST1304,128,1,35.25,5,1,1,511,7,Potential
CUST1305,158,1,273.01,4,1,1,411,6,At Risk
CUST1306,186,2,670.5,4,1,1,411,6,At Risk
CUST1307,46,1,381.2,5,1,1,511,7,Potential
CUST1308,69,2,4047.89,5,1,2,512,8,Potential
CUST1309,52,3,646.37,5,2,1,521,8,Potential
CUST1312,29,3,87.1,5,2,1,521,8,Potential
CUST1313,142,3,213.36,5,2,1,521,8,Potential
CUST1314,232,2,119.28,4,1,1,411,6,At Risk
CUST1315,44,3,2854.8599999999997,5,2,2,522,9,Potential
CUST1317,55,3,1853.6399999999999,5,2,1,521,8,Potential
CUST1318,26,1,180.52,5,1,1,511,7,Potential
CUST1319,320,1,2861.11,3,1,2,312,6,At Risk
CUST1320,10,2,65.96000000000001,5,1,1,511,7,Potential
CUST1322,393,3,1056.73,3,2,1,321,6,At Risk
CUST1324,78,2,1484.1,5,1,1,511,7,Potential
CUST1325,45,5,6036.49,5,3,3,533,11,Loyal
CUST1327,274,2,486.15,4,1,1,411,6,At Risk
CUST1328,31,2,1154.85,5,1,1,511,7,Potential
CUST1329,16,2,877.75,5,1,1,511,7,Potential
CUST1330,197,1,4957.03,4,1,3,413,8,Potential
CUST1331,720,1,8.85,1,1,1,111,3,At Risk
CUST1332,121,3,2333.4700000000003,5,2,2,522,9,Potential
CUST1333,7,1,378.83,5,1,1,511,7,Potential
CUST1334,385,3,811.5600000000001,3,2,1,321,6,At Risk
CUST1335,54,3,1864.74,5,2,1,521,8,Potential
CUST1336,351,1,230.89000000000001,3,1,1,311,5,At Risk
CUST1337,220,1,43.42,4,1,1,411,6,At Risk
CUST1338,329,2,125.3,3,1,1,311,5,At Risk
CUST1339,238,3,1004.8499999999999,4,2,1,421,7,Potential
CUST1340,576,1,332.51,2,1,1,211,4,At Risk
CUST1343,54,2,88.69,5,1,1,511,7,Potential
CUST1344,481,2,1423.22,2,1,1,211,4,At Risk
CUST1346,463,1,97.1,2,1,1,211,4,At Risk
CUST1347,31,2,353.38,5,1,1,511,7,Potential
CUST1348,274,2,262.75,4,1,1,411,6,At Risk
CUST1349,147,3,2934.2799999999997,5,2,2,522,9,Potential
CUST1350,322,2,524.7900000000001,3,1,1,311,5,At Risk
CUST1351,367,3,2471.59,3,2,2,322,7,Potential
CUST1352,49,6,5656.47,5,4,3,543,12,Loyal
CUST1353,415,1,599.71,3,1,1,311,5,At Risk
CUST1355,121,2,4175.7699999999995,5,1,2,512,8,Potential
CUST1356,693,1,791.2,1,1,1,111,3,At Risk
CUST1357,248,1,103.12,4,1,1,411,6,At Risk
CUST1359,516,1,4.91,2,1,1,211,4,At Risk
CUST1360,4,2,813.91,5,1,1,511,7,Potential
CUST1361,653,1,19.94,1,1,1,111,3,At Risk
CUST1362,3,6,4715.34,5,4,3,543,12,Loyal
CUST1363,214,3,1395.46,4,2,1,421,7,Potential
CUST1364,174,2,3746.14,4,1,2,412,7,Potential
CUST1365,459,1,199.14,2,1,1,211,4,At Risk
CUST1366,522,3,680.62,2,2,1,221,5,At Risk
CUST1367,647,1,355.16,1,1,1,111,3,At Risk
CUST1368,273,5,3000.41,4,3,2,432,9,Potential
CUST1369,25,2,2100.57,5,1,1,511,7,Potential
CUST1370,210,2,2641.69,4,1,2,412,7,Potential
CUST1371,387,2,72.23,3,1,1,311,5,At Risk
CUST1372,604,1,6.64,1,1,1,111,3,At Risk
CUST1373,145,3,1393.1399999999999,5,2,1,521,8,Potential
CUST1374,547,1,25.83,2,1,1,211,4,At Risk
CUST1375,390,3,1063.96,3,2,1,321,6,At Risk
CUST1376,87,3,784.45,5,2,1,521,8,Potential
CUST1377,249,3,6725.650000000001,4,2,3,423,9,Potential
CUST1378,395,2,2585.69,3,1,2,312,6,At Risk
CUST1379,107,2,4760.77,5,1,3,513,9,Potential
CUST1380,305,2,1346.6,3,1,1,311,5,At Risk
CUST1381,151,2,1058.1,4,1,1,411,6,At Risk
CUST1382,385,2,927.63,3,1,1,311,5,At Risk
CUST1383,188,1,152.37,4,1,1,411,6,At Risk
CUST1384,53,3,430.62,5,2,1,521,8,Potential
CUST1385,31,2,244.27,5,1,1,511,7,Potential
CUST1386,703,2,1689.43,1,1,1,111,3,At Risk
CUST1387,393,4,4298.4,3,2,2,322,7,Potential
CUST1388,419,3,1444.5,3,2,1,321,6,At Risk
CUST1389,291,1,243.51,4,1,1,411,6,At Risk
CUST1390,42,6,3181.85,5,4,2,542,11,Loyal
CUST1392,93,3,2925.62,5,2,2,522,9,Potential
CUST1393,24,3,505.25,5,2,1,521,8,Potential
CUST1394,238,2,1791.3500000000001,4,1,1,411,6,At Risk
CUST1395,420,2,112.89,3,1,1,311,5,At Risk
CUST1396,211,3,3767.6700000000005,4,2,2,422,8,Potential
CUST1397,42,4,778.5699999999999,5,2,1,521,8,Potential
CUST1398,16,4,2094.02,5,2,1,521,8,Potential
CUST1399,27,3,1125.45,5,2,1,521,8,Potential
CUST1400,632,1,30.76,1,1,1,111,3,At Risk
CUST1401,35,2,2323.55,5,1,2,512,8,Potential
CUST1402,150,1,560.69,4,1,1,411,6,At Risk
CUST1403,273,2,1130.57,4,1,1,411,6,At Risk
CUST1404,524,1,963.6999999999999,2,1,1,211,4,At Risk
CUST1405,391,1,32.04,3,1,1,311,5,At Risk
CUST1406,84,3,878.66,5,2,1,521,8,Potential
CUST1407,337,1,122.23,3,1,1,311,5,At Risk
CUST1408,40,4,1828.47,5,2,1,521,8,Potential
CUST1409,2,2,156.32999999999998,5,1,1,511,7,Potential
CUST1412,383,1,2364.2599999999998,3,1,2,312,6,At Risk
CUST1413,493,1,1564.25,2,1,1,211,4,At Risk
CUST1414,43,2,2442.9100000000003,5,1,2,512,8,Potential
CUST1415,343,1,1348.77,3,1,1,311,5,At Risk
CUST1416,111,4,2712.08,5,2,2,522,9,Potential
CUST1417,67,3,2392.95,5,2,2,522,9,Potential
CUST1418,166,3,1185.3799999999999,4,2,1,421,7,Potential
CUST1421,62,3,943.6500000000001,5,2,1,521,8,Potential
CUST1422,220,3,933.92,4,2,1,421,7,Potential
CUST1423,514,1,208.4,2,1,1,211,4,At Risk
CUST1424,84,1,440.03000000000003,5,1,1,511,7,Potential
CUST1425,656,1,1863.15,1,1,1,111,3,At Risk
CUST1426,277,4,2335.04,4,2,2,422,8,Potential
CUST1427,11,2,2767.44,5,1,2,512,8,Potential
CUST1428,68,6,541.59,5,4,1,541,10,Loyal
CUST1430,365,2,2487.7799999999997,3,1,2,312,6,At Risk
CUST1431,29,1,4.38,5,1,1,511,7,Potential
CUST1432,549,2,992.28,2,1,1,211,4,At Risk
CUST1433,631,1,23.91,1,1,1,111,3,At Risk
CUST1434,701,1,473.34,1,1,1,111,3,At Risk
CUST1435,404,3,585.52,3,2,1,321,6,At Risk
CUST1436,50,1,58.33,5,1,1,511,7,Potential
CUST1438,18,2,1693.69,5,1,1,511,7,Potential
CUST1439,631,1,164.64,1,1,1,111,3,At Risk
CUST1440,12,3,2916.89,5,2,2,522,9,Potential
CUST1441,355,1,4.9,3,1,1,311,5,At Risk
CUST1442,39,3,1930.03,5,2,1,521,8,Potential
CUST1444,96,2,1329.85,5,1,1,511,7,Potential
CUST1445,514,1,245.76999999999998,2,1,1,211,4,At Risk
CUST1446,533,2,4558.78,2,1,3,213,6,At Risk
CUST1447,40,3,546.41,5,2,1,521,8,Potential
CUST1448,304,3,4937.92,3,2,3,323,8,Potential
CUST1450,105,3,405.7,5,2,1,521,8,Potential
CUST1451,178,1,318.96999999999997,4,1,1,411,6,At Risk
CUST1452,241,2,313.16,4,1,1,411,6,At Risk
CUST1453,217,1,1725.25,4,1,1,411,6,At Risk
CUST1455,227,3,1312.49,4,2,1,421,7,Potential
CUST1456,43,2,3726.0099999999998,5,1,2,512,8,Potential
CUST1457,496,2,2532.59,2,1,2,212,5,At Risk
CUST1458,295,3,2172.1600000000003,3,2,1,321,6,At Risk
CUST1460,320,2,1461.8,3,1,1,311,5,At Risk
CUST1462,207,1,29.26,4,1,1,411,6,At Risk
CUST1463,434,1,574.25,3,1,1,311,5,At Risk
CUST1464,670,1,402.57,1,1,1,111,3,At Risk
CUST1465,87,2,440.47999999999996,5,1,1,511,7,Potential
CUST1467,317,1,9.64,3,1,1,311,5,At Risk
CUST1468,267,1,547.08,4,1,1,411,6,At Risk
CUST1470,641,1,295.33,1,1,1,111,3,At Risk
CUST1471,376,3,1936.57,3,2,1,321,6,At Risk
CUST1472,175,4,3052.88,4,2,2,422,8,Potential
CUST1473,468,1,284.41,2,1,1,211,4,At Risk
CUST1474,42,3,2101.16,5,2,1,521,8,Potential
CUST1475,23,2,565.22,5,1,1,511,7,Potential
CUST1476,51,3,6235.219999999999,5,2,3,523,10,Loyal
CUST1477,246,2,536.1500000000001,4,1,1,411,6,At Risk
CUST1478,340,1,818.1,3,1,1,311,5,At Risk
CUST1479,193,4,2839.14,4,2,2,422,8,Potential
CUST1480,273,2,366.06999999999994,4,1,1,411,6,At Risk
CUST1481,549,2,2920.02,2,1,2,212,5,At Risk
CUST1482,376,3,1393.9,3,2,1,321,6,At Risk
CUST1485,77,2,1316.69,5,1,1,511,7,Potential
CUST1486,290,2,153.58,4,1,1,411,6,At Risk
CUST1487,23,3,1164.93,5,2,1,521,8,Potential
CUST1488,698,1,18.36,1,1,1,111,3,At Risk
CUST1489,89,3,1763.57,5,2,1,521,8,Potential
CUST1490,685,1,558.3399999999999,1,1,1,111,3,At Risk
CUST1491,585,1,2093.5600000000004,2,1,1,211,4,At Risk
CUST1493,39,3,781.74,5,2,1,521,8,Potential
CUST1494,62,2,669.48,5,1,1,511,7,Potential
CUST1495,316,3,2400.0699999999997,3,2,2,322,7,Potential
CUST1496,152,1,406.2,4,1,1,411,6,At Risk
CUST1497,543,2,1275.6999999999998,2,1,1,211,4,At Risk
CUST1498,463,2,168.27,2,1,1,211,4,At Risk
CUST1499,595,1,31.73,1,1,1,111,3,At Risk
CUST1500,98,2,1147.3899999999999,5,1,1,511,7,Potential
CUST1501,310,2,953.4599999999999,3,1,1,311,5,At Risk
CUST1502,309,2,185.1,3,1,1,311,5,At Risk
CUST1503,382,1,41.23,3,1,1,311,5,At Risk
CUST1504,310,3,2305.44,3,2,2,322,7,Potential
CUST1505,364,1,76.85,3,1,1,311,5,At Risk
CUST1506,211,3,1592.05,4,2,1,421,7,Potential
CUST1507,53,2,3800.21,5,1,2,512,8,Potential
CUST1508,26,3,4442.91,5,2,2,522,9,Potential
CUST1509,305,1,156.6,3,1,1,311,5,At Risk
CUST1510,343,1,1656.7,3,1,1,311,5,At Risk
CUST1511,11,3,1034.53,5,2,1,521,8,Potential
CUST1512,481,1,968.89,2,1,1,211,4,At Risk
CUST1513,396,3,3865.88,3,2,2,322,7,Potential
CUST1514,96,3,3253.59,5,2,2,522,9,Potential
CUST1515,291,2,4794.5,4,1,3,413,8,Potential
CUST1516,607,1,86.96,1,1,1,111,3,At Risk
CUST1517,98,2,660.79,5,1,1,511,7,Potential
CUST1518,171,2,270.24,4,1,1,411,6,At Risk
CUST1519,142,2,1837.96,5,1,1,511,7,Potential
CUST1520,107,2,1930.03,5,1,1,511,7,Potential
CUST1521,375,3,3880.04,3,2,2,322,7,Potential
CUST1522,9,3,1022.99,5,2,1,521,8,Potential
CUST1523,70,2,2674.6000000000004,5,1,2,512,8,Potential
CUST1524,10,1,21.08,5,1,1,511,7,Potential
CUST1525,51,3,1424.6100000000001,5,2,1,521,8,Potential
CUST1526,699,1,147.6,1,1,1,111,3,At Risk
CUST1527,391,2,3048.36,3,1,2,312,6,At Risk
CUST1528,697,1,217.7,1,1,1,111,3,At Risk
CUST1529,118,2,125.91999999999999,5,1,1,511,7,Potential
CUST1531,49,1,812.48,5,1,1,511,7,Potential
CUST1533,603,1,20.36,1,1,1,111,3,At Risk
CUST1534,126,4,3920.7799999999997,5,2,2,522,9,Potential
CUST1535,590,1,1637.82,1,1,1,111,3,At Risk
CUST1537,102,2,187.36,5,1,1,511,7,Potential
CUST1538,138,2,1802.98,5,1,1,511,7,Potential
CUST1539,425,3,2408.6600000000003,3,2,2,322,7,Potential
CUST1540,243,2,1072.1100000000001,4,1,1,411,6,At Risk
CUST1541,283,1,895.6899999999999,4,1,1,411,6,At Risk
CUST1542,276,2,4484.349999999999,4,1,2,412,7,Potential
CUST1543,455,1,1230.12,2,1,1,211,4,At Risk
